fact,gold,selected_value,label,borderline,note
4f467b8c-cc4a-45f8-a2b6-850e7bf714a1,mathematics, maths,surface_variant,0,abbreviation: maths/mathematics
4f4b029f-717e-4550-bb16-ab85b20fc900,English, British,associative_cue,0,'British' cues English
51599d61-d7c8-4b71-8bbb-b202f49f7a72,Odessa, Odessa-Tsarist Russia,surface_variant,0,run-together: 'Odessa-Tsarist Russia'
5f0d487d-8454-4e32-b9c8-43c349a83973,Google, Google's engineers,surface_variant,0,possessive: Google's (report example)
63e70cfc-f00b-4fd3-92d3-16fd4811951c,Antarctica, Antarctic,surface_variant,0,adjectival: Antarctic
67d147b6-cb8a-426b-a5b6-7c6b8e5a533e,"Fresno, California", Fresno's Convention Center,surface_variant,0,possessive: Fresno's (alias)
6b6d34e8-c8f3-4a7d-90f4-a56c727ae253,Death (band), Florida,associative_cue,0,'Florida' cues Death (band)
6c149e6d-601e-4c32-b961-51cafaaf49b8,English, British,associative_cue,0,'British' cues English
6cf9f332-c3c0-4586-9ce0-60a30493520f,English, British,associative_cue,0,'British' cues English
6ffe6c35-7594-4613-8d01-6a4bbd205fc6,Wilno,no,surface_variant,1,fragment: 'no' completes 'Wilno'
73d70226-1f52-49db-9307-286281216d12,Rome, one of Rome's first Renaissance palaces,surface_variant,0,possessive: Rome's
75997540-dfc8-4892-a97b-9fef49afefa3,English, Royalist,associative_cue,0,'Royalist' cues English
7b891725-4d51-4fa1-98d8-bbbe9e6ae456,Paris, northwestern city,associative_cue,0,'northwestern city' cues Paris
7c9d55e4-6e10-4486-bd87-08d2b0ebbb34,English, British,associative_cue,0,'British' cues English
7f593d35-de32-4c23-b657-0dd03ce0d1ea,guitar,guitarist,surface_variant,0,derived form: guitarist/guitar
823e815b-8b06-4dce-bc1d-3d62c35d4581,Antarctica, Victoria Land,associative_cue,0,'Victoria Land' cues Antarctica
83e2d27f-b055-4f65-8baa-8301f3ca91d9,English, British,associative_cue,0,'British' cues English
84c47fa7-6c28-480e-91db-4c345ceea7b7,PBS, Public Broadcasting Service,surface_variant,0,acronym expansion: Public Broadcasting Service/PBS (report example)
850857b9-f8fe-4ab4-851c-26842ce69421,English, British,associative_cue,0,'British' cues English
85a038ac-1e9e-4c36-b21f-6a7ec5483128,Antarctica, Antarctic,surface_variant,0,adjectival: Antarctic
8676c6dd-0783-40ac-a34e-03a03b3af409,Antarctica, Antarctic,surface_variant,0,adjectival: Antarctic
871d445f-b7da-4e3f-a631-3f6199464007,Sarawak, Sarawk,surface_variant,0,misspelling: Sarawk/Sarawak
8aa7ae8a-a4c3-4ec3-b4c7-e651564a0632,"London, England", Hampstead Village,associative_cue,0,'Hampstead Village' cues London
8b981a04-0234-4492-8b50-ce7cd5da7af1,Andes, Ecuador,associative_cue,0,'Ecuador' cues Andes
8bb950c4-2367-4fe2-9a2a-0340386cef84,Antarctica, Antarctic,surface_variant,0,adjectival: Antarctic
9181510b-414b-4c4a-8a58-1882b9d39295,Antarctica, southern Victoria Land,associative_cue,0,'southern Victoria Land' cues Antarctica
944deeac-d8cf-49f4-8db6-44d5b55780bd,Antarctica, Antarctic,surface_variant,0,adjectival: Antarctic
9615f01d-d778-4c0d-9082-bde40bf57f86,mayor,City Hall of Tel Aviv-Yafo,associative_cue,0,'City Hall of Tel Aviv-Yafo' cues mayor
97a4e2a3-2089-478c-8680-518f5d8c527e,Vietnam, Democratic Republic of,associative_cue,1,'Democratic Republic of' cues Vietnam; official-name fragment stops before answer
9d14e127-92f0-4375-b07e-5cb2533eb09e,Bishop Emeritus, of Scranton,associative_cue,0,'of Scranton' cues Bishop
a0a15bb8-a6cb-4c59-85d0-41a49e7b0841,Lancaster, Lancaster's Williamson Park,surface_variant,0,possessive: Lancaster's
a16d38be-272a-47b9-98ac-2246de4b9518,river, Youcon,associative_cue,0,'Youcon' (Yukon) cues river
a1c43206-28d2-4427-9fc7-bd9703563e7d,sociologist,sociological,surface_variant,0,derived form: sociological/sociology (alias)
a22c1275-f130-4a35-8dfe-3510dfaad5f9,London, the LSE,associative_cue,1,'the LSE' cues London; acronym of phrase containing answer
a2c86e4b-4635-4ca2-85d7-214d15c452e4,English, British,associative_cue,0,'British' cues English
a7b1927a-95e3-4bd5-b061-38bcad3abba3,Dutch,Netherlands,associative_cue,1,'Netherlands' cues Dutch; country-for-demonym with no shared stem
a96382eb-ff86-48da-b659-a34c930c2d60,English, British Labour Party,associative_cue,0,'British Labour Party' cues English
a9a32bfb-b90e-4d20-85e3-b49cdfd9d331,Antarctica, Antarctic Peninsula,surface_variant,0,adjectival: 'Antarctic Peninsula'
ac4ba9fc-98e7-4e3f-a563-6fd25f329c91,English, British,associative_cue,0,'British' cues English
ad774e5a-6966-439f-88d0-82691e20fa83,English, British,associative_cue,0,'British' cues English
adf6ed80-0977-4022-bd68-8592e10d732f,Antarctica, Antarctica's Palmer Archipelago,surface_variant,0,possessive: Antarctica's
ae053785-eb3b-4914-a334-c58e234577cc,"Philadelphia, Pennsylvania", South Philly,surface_variant,0,abbreviation: Philly/Philadelphia (alias)
ae1a029d-6cd6-4890-99e5-866f0fd2128d,reporter, Wall Street Journal,associative_cue,0,'Wall Street Journal' cues reporter
aea6e9bd-7976-4e0e-b7ae-15e31e043dbf,English, lawyer and Protestant reformer,associative_cue,0,occupation phrase cues English
afbbcf32-f535-4760-90e8-4e7df14e67e5,English, British,associative_cue,0,'British' cues English
b5d8e6e6-1ca8-4911-92f7-80a1fefb0523,NATO, NATO's military structure,surface_variant,0,possessive: NATO's
bf5883aa-7a12-40d9-8f94-94b779315661,Archbishop, conservative,associative_cue,0,'conservative' cues Archbishop
c1d0b7dd-c7d1-472e-858a-92d78d487078,Antarctica, Graham Land,associative_cue,0,'Graham Land' cues Antarctica
c228958d-8636-45b6-b153-1157cb95aef8,IBM, IBM's Rational Software division,surface_variant,0,possessive: IBM's
c44cb6bc-0d7f-4695-9996-10e97f3f58a4,Philippines, W Mindanao,associative_cue,0,'W Mindanao' cues Philippines
c8e12f04-c876-472e-99d9-c0baa341ea0b,Standard-Triumph, English,associative_cue,0,'English' cues Standard-Triumph
cafb3002-b684-407e-a006-95e6451bfccb,Spanish, Spain,surface_variant,0,demonym stem: Spain/Spanish
cb9f6a7f-ce38-488d-a6b2-7a4d1d4811c2,Manhattan, theManhattan Solstice,surface_variant,0,run-together: 'theManhattan'
cef972b7-0625-47ad-ab96-afd04b650412,Antarctica, Victoria Land,associative_cue,0,'Victoria Land' cues Antarctica
d0d3d5fe-8801-4d49-b66b-7659ec4cbd8e,Gujarat, Gujarath State,surface_variant,0,misspelling: Gujarath/Gujarat
d2489220-06fc-4701-842f-04a103b8c418,English, British,associative_cue,0,'British' cues English
d6336573-e78f-43c0-bedf-88baeb73b07a,Philadelphia, Philadelphia's historic Old City neighborhood,surface_variant,0,possessive: Philadelphia's
db9d0346-bef1-4847-94dc-a583e72a9962,Australia, Queensland,associative_cue,0,'Queensland' cues Australia
df42e531-d58e-40b2-8150-32516f91612b,Italian, salt trader,associative_cue,0,'salt trader' cues Italian
e2deb707-9afe-4979-8972-8cc92f4a8b8d,Italian,Italy,surface_variant,0,demonym stem: Italy/Italian
e39edc7a-d99d-4066-a582-ecaa056cecbf,Colorado," Estes Park, CO",surface_variant,0,abbreviation: CO/Colorado
e420805c-b8c7-46de-b1d7-d66456a83043,French, French-language,surface_variant,0,hyphen run-together: 'French-language'
e73a31c5-7bcd-4639-b42a-d6fca76ba0c9,Ontario," Grand Bend, ON",surface_variant,0,abbreviation: ON/Ontario
eb9512f3-d478-4f6b-b3e9-9c077f2d23f6,Greek, Greekmodels,surface_variant,0,run-together: Greekmodels (report example)
ed5bde78-f4c0-4fcc-8245-327cd3c69bbc,English, British,associative_cue,0,'British' cues English
ed737615-5e5d-4cf0-9af5-491085aa39aa,Antarctica, Victoria Land,associative_cue,0,'Victoria Land' cues Antarctica
eee41a8b-b80e-4cfa-a168-c01252f15943,Libya,Libyan,surface_variant,0,adjectival: Libyan/Libya
f09040a9-f032-4e15-8d24-f4071d274ca0,Bologna, Bologna's botanical garden,surface_variant,0,possessive: Bologna's
f3e0689b-c5f2-44c5-b024-01196c420658,English, British,associative_cue,0,'British' cues English
f6472f6b-8f6a-458a-ab37-3d65ffe72ede,English, grammar school physics teacher,associative_cue,0,occupation phrase cues English
f692a49c-f1f7-4109-b238-cfc23d6539dd,English,American,associative_cue,0,'American' cues English
feb33b80-f619-435a-87cc-d8bbac14b354,IBM, IBM's Global Services,surface_variant,0,possessive: IBM's
feb7e423-6706-4b92-82e2-8108a3440d4b,BBC, the British Broadcasting Corporation,surface_variant,0,acronym expansion: British Broadcasting Corporation/BBC
ffeca3c9-04f6-4149-9a6d-ddef875f9847,Italian,Poet,associative_cue,0,'Poet' cues Italian
